id,startNode,endNode,duration,type,length,name,ref
109,1155,12778,118.714020,2,1648.805827,Rue du Docteur Leray,
110,1551,3487,1.834272,2,25.476001,,
111,2819,2834,190.914397,4,2651.588842,Périphérique d'Île de France,A 86
112,28827,28829,5.148634,2,71.508799,,
113,9469,27517,0.998660,2,13.870275,Rond-Point de la Croix Lieu,
114,25395,13592,114.623794,2,1591.997133,,
115,29914,29913,1.564181,2,21.724735,,
116,32114,12837,2.305658,2,32.023026,Place Saint-Exupéry,
117,32238,1145,62.556125,2,868.835066,Route Nationale,D 983
118,7913,14292,4.804676,2,66.731614,,
119,16604,25861,94.782031,2,1316.417093,Chemin de Groslay,
120,19156,20940,3.268992,2,45.402663,,
121,23452,23650,1.893764,2,26.302284,,
122,27735,27736,2.994756,2,41.593827,,
123,32330,32329,1.412186,2,19.613696,Rue Waldeck Rousseau,D 448
124,10501,22089,1.919620,2,26.661383,Rue du Général Leclerc,D 30
125,23019,23018,1.535713,2,21.329342,,
126,27167,27358,63.041753,2,875.579899,,D 116A
127,29664,29666,2.410595,2,33.480482,,
128,2293,17242,3.411260,2,47.378609,,D 910
129,7284,5436,1.816826,2,25.233700,,
130,14044,14051,39.841437,2,553.353286,Avenue Sully Prudhomme,D 67
131,25818,25817,1.544020,2,21.444727,,
132,769,774,2.216600,2,30.786109,,
133,12312,12302,1.536669,2,21.342622,,
134,13687,17232,47.469684,2,659.301172,Avenue de l'Abbé Roger Derry,D 155
135,14803,24322,0.966859,2,13.428593,,
136,4177,4134,32.503550,6,451.438197,,A 13
137,9152,9151,22.418144,2,311.363108,Rue Pierre Curie,
138,10548,23092,26.295335,2,365.212988,,
139,13002,30445,6.472960,2,89.902228,Rue de Folleville,D 3
140,13032,13012,289.888695,2,4026.231881,,D 15
141,22905,22903,4.917100,2,68.293052,,
142,22978,11973,1.376655,7,19.120215,,N 184
143,25092,18501,181.806646,2,2525.092304,,
144,4206,4207,8.631484,2,119.881721,,D 10
145,13153,27025,147.613784,2,2050.191445,,VC 1
146,24048,13120,202.976113,2,2819.112675,,D 148
147,29026,9058,0.569511,2,7.909872,,
148,30151,19324,35.536104,2,493.556996,,
149,1686,10929,21.918102,3,304.418085,Boulevard des Batignolles,
150,13203,13177,1.197837,2,16.636629,,
151,27965,22408,14.116077,2,196.056631,Rue de l'Orge,D 148
152,2764,4087,9.953081,3,138.237243,Rue du Four,
153,3922,3946,22.479855,3,312.220213,Avenue Hoche,
154,9881,9681,1.136788,2,15.788723,,
155,32036,32035,3.888895,2,54.012428,,D 165E
156,32510,9505,3.490357,2,48.477185,Avenue du Général de Gaulle,D 934
157,488,483,5.363735,2,74.496314,,
158,10389,10390,2.011313,2,27.934901,,
159,10446,9583,3.623403,2,50.325042,,
160,21861,19682,1.171940,2,16.276947,Rue du Maréchal Galliéni,
161,23407,6366,1.119595,2,15.549933,,
162,25726,25723,2.153184,2,29.905330,,
163,27191,21712,2.176090,2,30.223470,,
164,10230,20147,90.964582,2,1263.396966,Avenue du Maréchal Joffre,D 190
165,19332,19314,1.562512,2,21.701556,Route Napoléon III,
166,22175,22172,19.768248,2,274.558993,,
167,23541,23543,1.577357,3,21.907736,,
168,27166,25958,262.321937,2,3643.360238,Route Départementale de Dourdan à Thionville,D 113
169,11696,11330,42.862598,2,595.313863,,
170,26330,26332,0.236785,2,3.288675,Route de Saclay,D 36
171,58,59,1.443916,3,20.054394,Boulevard Jules Sandeau,
